"userID","TotalElite","EliteOrNot","TotalVotes","TotalFriends","Year","Month","review_count","fans","average_stars"
"Q9SpquEAHfrRdSEaj8oBcw",0,0,13,2,2015,2,5,0,4.2
"R3QtIxW2vhbgCU9g8TzFsg",0,0,0,0,2015,5,1,0,5
"ktB-NAyMUuA1lNL-QqMDWg",0,0,49,5,2009,5,23,0,4.17
"j1j3_-pZ1keMhLXxUsTXTQ",0,0,5,0,2008,12,5,0,4.8
"WGl8-j0_XKE5R6MfmY22yQ",0,0,16,0,2010,11,19,0,4.26
"SOOngeXy84MFiUQZ1-e8dQ",0,0,0,0,2013,9,2,0,5
"H5fWDp1F67BbaJVyYOmajA",0,0,6,10,2014,8,1,0,5
"TGQ5IxIjUvgPpo9cqEd4Qg",0,0,11,0,2013,11,2,0,5
"VhYipyt-PeMVtuFIcoP4TQ",0,0,138,3,2011,4,38,1,4.18
"i9U8nTdHyuGxhLMUHZi5FA",0,0,5,0,2014,7,11,1,4.36
"GJk82cusSqiIhf2IhuUoWA",0,0,208,4,2007,3,46,3,2.35
"Tr_gEFvd3qJlwEXA7wNTzA",0,0,23,5,2011,4,6,0,3.83
"GRrTgmRFyYgwIPTZo9R6yw",0,0,3,0,2012,1,6,0,2.5
"JzbKQbarMvBUWBEdjZl6JA",0,0,7,0,2014,10,14,0,2.67
"e9hL4iRVWOr-pGb0PMehFw",0,0,8,1,2013,8,2,0,1
"6Sd3eOmdj0Nv3_PRprr14Q",0,0,19,0,2012,6,12,0,3.3
"cT0VqyDyeay4UVmBlrOB8g",0,0,4,0,2015,3,5,0,3.2
"OTAJmhRQFgxb88Tnr2XJ-g",0,0,1,3,2011,1,1,0,5
"TlaWKzp5s0CZCglso0bUIw",0,0,1,1,2012,10,5,0,3.8
"DMUrUwGBsywUmw4YX5Zz1g",0,0,0,0,2015,5,1,0,5
"OUS7CctRtA7yjst7huzv7A",0,0,3,1,2010,4,2,0,3
"4v0yhd9qvE3U0FtXOf_H6A",0,0,1,0,2011,3,3,0,5
"juFDnBDFa-GbV6zxueaDgg",0,0,14,1,2009,5,9,0,3.44
"PlQ-40CwUqasLoNMrxhPuA",0,0,5,1,2009,3,6,0,4.17
"1YS_cPUfJspGA9pRmB3u7A",0,0,2,5,2015,4,1,0,5
"oQ1wzxZoI10x4efdVdGKpg",0,0,0,0,2015,5,1,0,5
"2_YtjtpM-vx4rS6eBmjD2A",0,0,23,6,2010,8,19,0,4.05
"P_Ksrnjems0r_TANxIfFCg",0,0,12,0,2013,10,94,1,4.18
"A4zHYDDBzR8AlSzOZ3kcyA",0,0,2,2,2015,7,1,0,5
"NFsQN80oQvtZCfb0V0py3g",0,0,82,5,2012,4,69,2,3.63
"q2BvEV6Zmkaw4tUOtKxQKw",0,0,1,3,2013,2,3,0,2.67
"rEJdG84WWHw3VCAwkdazzQ",0,0,4,0,2011,5,5,0,4
"BudPMJ8wD8zRPEsyMElj4g",0,0,1,13,2011,6,5,1,4.6
"ii5mqcNhhR9jkPsqMRNwRA",0,0,281,3,2008,11,64,4,3.55
"QeqoFXALju0c0UHh5pC6Cw",0,0,4,14,2011,5,7,0,2.86
"gvzrKfdr3K6KaXazhElFzg",0,0,1,1,2015,4,1,0,5
"yxFbMblBjv-cDGmvJ48XIw",0,0,2,0,2015,7,2,0,4
"yX8Tk82KZnX9tCUMEVC-Rw",0,0,138,0,2010,10,21,69,4.25
"QFts6zCJMPd0l7ZlgXwOzA",0,0,7,4,2014,9,1,0,1
"xdDaGJuavblQmRCQ5XHbrA",0,0,2,0,2014,3,1,0,1
"C9PQZU1gbWm-6GIUm2LTlA",0,0,3,0,2012,6,1,0,5
"1JsjKFBHPPvE8dOYivFqoQ",0,0,1,0,2015,9,15,0,4.35
"VvHcJl7uat0GGY2EWrjeIQ",0,0,0,1,2011,7,3,0,4.67
"sLHM9qiI3sN3SWpfyWDqDA",0,0,4,0,2011,12,2,0,4.5
"Ne-zPdAT6Q_9yrR6h9nMWg",0,0,23,0,2008,2,16,0,3.5
"ovnhS-JHXsSyHOTXQ9YTBA",0,0,2,0,2014,6,2,0,5
"n5pnJnEf5Ejl4uAieJ6Cig",0,0,111,1,2011,11,35,4,2.89
"--dVpgwpgAba4DCtIZ6tEg",0,0,0,0,2015,1,3,0,3.33
"wb7z-3di8Nu1JemYugVBZQ",0,0,4,0,2013,9,3,0,1.5
"dvRVX54Z9f7Om51NsTRX1w",4,1,394,48,2005,8,202,11,3.84
"rvEZ70A49iXW8cx5IY3eXg",0,0,65,21,2012,1,64,3,4.03
"V0XXMTdxrsy6thewgf9J7w",0,0,9,1,2007,12,3,0,1
"fCi17RbEHvIc6eD1v6qUDA",0,0,8,0,2013,7,6,0,2.8
"8hWBnQA_ckmXoRHYPUmm3g",3,1,752,12,2007,1,128,8,4.09
"0I_8d7GdfwWIGgUQOfgxqw",0,0,1,0,2014,10,2,0,1
"aMutgcrp6B1oUZHwcyu8hg",0,0,73,7,2012,1,28,2,4.48
"Sexz-h0l_LSx3TRfxWAkFQ",0,0,18,0,2010,5,10,0,4.1
"C2mHXOnWyQEaalwravwKFg",0,0,14,0,2015,8,6,0,3.83
"m7PXKUeF84QO6_jftwyBLw",0,0,23,1,2013,8,4,0,3
"ffdgWvGc4MSw7dNRZyDDyQ",0,0,2,0,2014,8,1,0,5
"MYnWXXTym45qe1_R0UyLjQ",1,1,264,88,2012,6,118,20,4.33
"xaAntk2jlTnxPveL0AxmJQ",4,1,420,17,2008,1,212,7,4.33
"xZK1tIt5A-ymTrgHWlsAGg",0,0,8,0,2014,11,9,0,4.33
"YVCUi6tu7E8U5FX40iQY-w",0,0,0,0,2012,3,1,0,4
"lDOnBVJPp09DtiifD_cp3w",0,0,23,0,2011,6,5,0,2.6
"EyOc-symdLJZjuyptK7CIw",0,0,8,0,2011,7,13,0,4.15
"BjD64O-YX5yyS8kYQWlUtQ",0,0,4,0,2010,6,2,0,2.5
"a-TzvO6bSoMD0wpLMUOHBw",0,0,0,0,2015,7,3,0,5
"CBvbw4RJRyw6z7nB_z1I3g",0,0,9,0,2012,8,1,0,1
"h2kyXtLyfOiS5AmRepUSWQ",0,0,0,2,2012,12,1,0,4
"xQxy5a1h40RVZvffOqjFIQ",2,1,500,5,2012,2,404,3,3.73
"8Fsd4yro0ymNLkkX0QyUOw",0,0,49,67,2012,4,16,0,4.35
"qE2pWCPHVJiu7J0bNUVR0A",0,0,2,0,2013,3,1,0,5
"m5KqnA9QuL-uY7koFZr8CQ",0,0,3,0,2014,8,8,0,3.62
"i9xFlwZjSEThRJWX1jZRPg",0,0,3,0,2014,4,6,0,4.2
"QhEJPnb75VOgjOcXcxzuAA",0,0,2,6,2010,7,1,0,4
"DkMmNKGpqr1ZNnog22InEg",0,0,4,16,2013,8,6,1,4.17
"vuQggshrcV8KzMdlJfDhvA",0,0,4,0,2014,6,1,0,5
"iGTrUazaA1Cz9diEFUGjBA",0,0,2,0,2015,1,3,0,5
"zfaF66pugnKN7gcYXxRkdA",0,0,14,0,2012,12,7,0,2.71
"FJ6B-TjRmp3LH7xjZxTuIA",0,0,5,0,2015,1,10,0,2.5
"H8R-cXMm3tW0t8-KA97Klw",0,0,2,7,2010,9,1,0,5
"zNo9XDkn2IrP1F5Nc8ws1Q",0,0,1,0,2014,4,1,0,3
"djPMNHtLi1m73wlqw7MPYg",0,0,0,0,2015,4,3,0,4.67
"T3ENMzsS9UXvYa9ndunwpg",0,0,149,2,2009,12,53,4,3.21
"7brf9WC0Gr_7bUBXEHs9FA",4,1,546,31,2009,12,168,4,4.08
"JHc9u4B9HFPXmSL1X1S_0g",0,0,6,1,2011,5,2,0,5
"Sn5VmGYLYkcEMVjvze1k1A",4,1,965,32,2010,7,269,9,4.08
"KeuSQcHuIMZ1fPaA8sDlFQ",0,0,28,0,2011,12,15,0,1.71
"uix0bMwFCZS_rpyCdgPdPw",0,0,5,0,2015,8,8,1,4.12
"HjZjohW4N3ysGNwRO7rmWQ",0,0,0,12,2014,7,1,0,5
"s68BOogfStzbg2nN5HXuZQ",0,0,110,19,2009,7,33,3,4.35
"v1f3FUzo4YXLobwCZwrzgA",0,0,23,0,2013,6,22,0,4.09
"wM32gNcp_GtJypM7iZKIcg",0,0,58,20,2011,9,20,0,4.57
"KeSkSJEFXhJNf1QmojKgJA",0,0,0,0,2011,7,3,0,1
"x4OswSe4L5PuRbTKnRk-lQ",0,0,0,0,2015,5,2,0,5
"g-5aOiGQbtlACKsWzb3-1g",6,1,2012,55,2009,6,746,11,3.42
"BlWnR4e2xdEHPft1Ozm6fA",0,0,5,0,2014,7,3,0,3.67
"guu9RV-wx4AzerTxjGOXKg",0,0,25,0,2009,8,15,1,4
"7QbteJhHWkFg6KyLti5rBg",0,0,16,0,2012,4,12,0,2.69
"xxhBF3GroS9cirL-hDS0Sw",0,0,0,0,2013,11,1,1,5
"18vTyU-FpeXiaOsUj_bRvA",0,0,31,5,2012,9,30,0,3.8
"7GJA5coZCPvOUt24Z7b6ow",0,0,3,0,2015,3,13,0,4
"JM7dweBYWxgB_utPOj0CeQ",0,0,0,0,2015,4,1,0,5
"j3Ph67BDIkaMfAAly_HM5w",0,0,2,0,2013,12,1,0,5
"iBGR6wYc7bzAq7T0ndpJbw",0,0,6,0,2013,9,9,0,3.4
"njs11Wk2senMHIGwgODwbQ",0,0,83,8,2011,12,27,0,3.67
"tLpCwN3b1poQzC9At-NdWQ",0,0,380,11,2009,2,73,10,3.55
"qmfTtLQpNwi3uTpljrnK6g",3,1,479,15,2010,3,147,3,3.9
"BFz5w2-b-owEeU9uZTWHFQ",0,0,11,2,2012,2,4,0,3
"dTFs-SDYdn9kAl4-wQjNpw",0,0,143,31,2010,8,33,4,2.53
"_WVaZsXIEMJxl3rQjAgwIw",0,0,4,0,2014,9,2,0,5
"P66tlS8wQcvLyWGX6fHcaQ",0,0,5,0,2013,9,9,0,4.56
"hR0eZZTswVzfXEojuILR_w",0,0,2,0,2012,12,1,0,1
"fCFPqLYy2-hd1varTsNI_g",0,0,1,0,2014,4,3,0,4.67
"B7Bs0Uo2DbXTOHkt5Mob7A",0,0,0,0,2015,7,1,0,3
"K2CWMrYvsVAmT30ZwAf40Q",0,0,2,0,2014,10,8,0,3.88
"2zaX7xsitvWFiYirDlrYzQ",0,0,15,1,2006,8,15,0,4.38
"FNeyv_PSNXqsPvfgI6udew",0,0,0,3,2012,2,4,0,3.75
"nJEziHwqA4mAxw1_TY2csg",0,0,72,1,2010,12,55,0,3.59
"kDnWb4MdSd1b06BrtXl9Pw",0,0,73,0,2010,5,19,0,2.21
"L9_Rqia4HHMJGq-gBwnfiw",0,0,36,0,2009,7,13,2,3.64
"rjfVfIUlR2kwt7BtIWZzlw",0,0,1,3,2014,9,2,0,4.5
"dBj6GNmojgWI4IdfP_JT-w",0,0,5,0,2012,11,1,0,1
"M3tpd_0GA0yI4rBXV4Dv9Q",0,0,1,0,2014,9,9,0,4.44
"hNH8XP_vul_dSaM829nrwg",0,0,12,0,2011,12,16,0,4
"zXKr9YjcMRwX09XNx4-oFg",0,0,0,0,2014,9,2,0,4.33
"j5AC5ZLpO2cn9PEf8l5ppQ",0,0,1,0,2015,8,3,0,5
"9N2Am6dvf0xclAjbwmO5Vw",0,0,0,0,2014,3,1,0,5
"YzXgUPKmHjCTqgUIIiXz3Q",0,0,7,0,2012,5,13,0,4.31
"ayIbDF9WoLDYfb6r0as7qw",0,0,440,1,2011,8,25,0,2.52
"lJ3_vnG4Jc756TRqpiT2SQ",0,0,0,0,2014,7,1,0,5
"TEuzZ5A6ydGG9wON0yV6QQ",0,0,35,0,2012,5,24,0,4.04
"r9WZG2K1aX66qKbe8HAf7A",0,0,10,13,2010,7,2,0,3
"jp7IA0HVwI7h7zVX7CgPCA",0,0,2,0,2014,9,3,0,3
"OObEWxb3p0RWQLIMa5iwpw",0,0,0,0,2015,11,6,0,3.17
"BepOJYFyX_jf7QPvSy8UTw",0,0,10,1,2013,5,3,0,5
"MHMY8T-EYHWOjuqaKpKAIg",0,0,60,2,2007,11,30,1,4.16
"WKwQaWAw3r4nWgv7fa0G-g",0,0,1,1,2011,10,2,0,5
"CidOqoyJeeSzeVF7iJB_8Q",2,1,358,12,2008,8,87,5,4.05
"AkcwM2Y6-Dar9SSCcYS3Eg",0,0,32,15,2013,12,36,3,3.77
"UOzXatd5zyCPhBfutjT8gg",0,0,198,0,2010,8,113,4,3.92
"HKawAV3815RebTC0mK0rdw",0,0,2,0,2014,6,4,0,3.75
"-V-1XjI2CBj9ZscUh1sE_Q",0,0,31,0,2011,5,66,0,3.28
"fiwlxPtANmNbknYEjbvoQg",0,0,0,0,2015,7,2,0,1
"nZieuZ3qBH_1NoyKMMKRSg",0,0,0,0,2014,11,6,0,4.83
"RYAWJfO2Y-QD3_cdM33wPg",0,0,1,0,2012,1,3,0,3.67
"5pLU8l4kVa8DePN3y20OPQ",0,0,6,2,2014,11,4,0,4
"A-ieyJcnQfzwA84-yH8gTg",0,0,2,0,2012,9,1,0,4
"1nGAJyBsZdNILdbzWoNUAg",0,0,13,1,2012,11,4,0,3.25
"qtY55JCIrS7-L_zppJeAAw",0,0,0,0,2013,1,2,0,3
"LHc8lwZVbhRZ60p_7ttSZw",0,0,36,10,2012,1,17,0,3.82
"OHBPgR-YzJSt_ObiQTsAxw",0,0,8,0,2012,1,4,0,3
"XOfj73_c0VFR8-bFI6Dhqg",0,0,0,0,2015,8,2,0,3
"s5Wrvlc8Dkl1C5hMVzmIkQ",0,0,5,0,2014,4,15,0,3.71
"iULVINe1XU5LwGyHFbRfQA",0,0,10,3,2009,9,30,0,4.06
"YMZW4E4xEoL-btz4uEtgUA",0,0,1,0,2010,9,1,0,5
"yZbOivULbPG-C4T7DGgD2A",0,0,20,13,2009,3,14,0,4.54
"g8iqOWxuXqPzrV_kVosz6A",0,0,0,1,2013,11,7,0,4.29
"-t_0u5g8GusT1Au-OO_QuA",0,0,0,1,2011,5,2,0,4.5
"JlSTvzhNR_wsI--aowAQww",0,0,0,0,2015,1,1,0,5
"Mggg5KnNNgQ1nyjQ8BqqRA",0,0,2,2,2013,8,9,0,4
"6TE8eJzCmfxGE0U3GZNz4g",0,0,47,26,2009,12,23,1,3.46
"yWhtMXnhDSKYge7ow7ehyw",0,0,2,0,2012,4,3,0,4
"QiF7CdAJt2-1qsRYHFbQ1w",0,0,33,2,2010,12,37,0,4.11
"4kmVLgeBCwscNKisuTIgVg",0,0,7,2,2010,7,14,0,4.15
"KVRYcSBiah25aaZSryxzag",0,0,1,0,2014,2,2,0,3
"N7XjswozIcSMtixe4sx8hQ",0,0,3,2,2011,8,2,1,3
"tBqOvuOKJDgar8XFDJYrqg",0,0,0,0,2015,6,1,0,5
"B4wN0FEGPQpnf3daBpgEOw",2,1,89,1,2009,3,45,4,4.15
"gIgtie_7yHPDV3vWfq29VQ",0,0,1,0,2014,9,1,0,4
"_zFK8aOKHJ7G9Aj9iOCQZA",0,0,93,2,2010,3,35,3,3.7
"iy7zsAT63v2GbaB8S_iR1A",0,0,190,5,2010,6,129,2,3.61
"qBjkCNK_fPn63VkbqNgarQ",0,0,46,2,2013,7,31,1,3.68
"BmGWJ6YVzhHARn4xmi7QCA",0,0,2,0,2013,6,4,0,5
"nRUzGkgY7sQtZ8mb7mMeTQ",0,0,0,0,2014,9,1,0,5
"X7MLxfHVv_VzrVmlXV5PFg",0,0,3,0,2010,12,5,0,4
"FRiKQEFQCduIbFzOzj6GRw",0,0,8,0,2013,1,9,0,4.38
"O1IEwiWGhGTfY42IKJ5bWA",0,0,9,3,2013,6,10,0,3.55
"gtprEOdSvApd1utmuhvL6g",0,0,134,0,2008,7,51,0,3.78
"fNepr4SlU0MCxb-hIa_wcQ",0,0,20,0,2012,10,9,0,3.67
